Circuit Name: ;c17v3.v
Input (5): ;G1gat, G2gat, G3gat, G4gat, G5gat
Output (2): ;G6gat, G7gat
Circuit Signals (11): ;G1gat, G2gat, G3gat, G4gat, G5gat, G6gat, G7gat, w1, w2, w3, w4
Fault Signals (11): ;G1gat, G2gat, G3gat, G4gat, G5gat, G6gat, G7gat, w1, w2, w3, w4


Input Signals;Fault Signal;Fault Type;Fault-Free Circuit Output;Faulty Circuit Output;Unmasked Faults
'00110;[w1];(1/0)w1 ;'11;'00;
'01000;[G6gat];(0/1)G6gat ;'00;'10;
'10010;[w2];(1/0)w2 ;'11;'11;
'11001;[w3];(1/0)w3 ;'10;'11;
'01111;[w4];(1/0)w4 ;'00;'01;
'11101;[G7gat];(0/1)G7gat ;'10;'11;
'00111;[w3];(0/1)w3 ;'11;'01;
'00111;[G3gat];(1/0)G3gat ;'11;'11;
'10011;[G6gat];(1/0)G6gat ;'11;'01;
'10010;[G3gat];(0/1)G3gat ;'11;'11;
'10110;[G5gat];(0/1)G5gat ;'11;'11;
'11110;[G7gat];(1/0)G7gat ;'11;'10;
'00011;[w3];(0/1)w3 ;'11;'00;
'10000;[G1gat];(1/0)G1gat ;'00;'00;
'00000;[G7gat];(0/1)G7gat ;'00;'01;
'10011;[G1gat];(1/0)G1gat ;'11;'11;
'11100;[w4];(0/1)w4 ;'01;'00;
'11001;[w2];(0/1)w2 ;'10;'00;
'00001;[G7gat];(0/1)G7gat ;'00;'01;
'11001;[G5gat];(1/0)G5gat ;'10;'00;
'11010;[G7gat];(1/0)G7gat ;'11;'10;
'01010;[w3];(0/1)w3 ;'11;'00;
'11101;[w1];(0/1)w1 ;'10;'11;
'11010;[w1];(1/0)w1 ;'11;'00;
'01001;[G5gat];(1/0)G5gat ;'00;'00;
'11000;[G4gat];(0/1)G4gat ;'00;'11;
'11101;[G7gat];(0/1)G7gat ;'10;'11;
'10010;[G3gat];(0/1)G3gat ;'11;'11;
'00111;[G4gat];(1/0)G4gat ;'11;'01;
'00100;[w4];(0/1)w4 ;'01;'00;
'11110;[w4];(0/1)w4 ;'11;'11;
'10110;[G3gat];(1/0)G3gat ;'11;'11;
'00100;[G7gat];(1/0)G7gat ;'01;'00;
'01000;[w2];(1/0)w2 ;'00;'10;
'01111;[G1gat];(0/1)G1gat ;'00;'10;
'01101;[G2gat];(1/0)G2gat ;'00;'01;
'01110;[G1gat];(0/1)G1gat ;'11;'11;
'01110;[G3gat];(1/0)G3gat ;'11;'11;
'10001;[G6gat];(1/0)G6gat ;'10;'00;
'01011;[G4gat];(1/0)G4gat ;'00;'00;
'11101;[G6gat];(1/0)G6gat ;'10;'00;
'10111;[G7gat];(1/0)G7gat ;'11;'10;
'10010;[G7gat];(1/0)G7gat ;'11;'10;
'10100;[G6gat];(0/1)G6gat ;'01;'11;
'10100;[w1];(1/0)w1 ;'01;'00;
'01110;[w4];(0/1)w4 ;'11;'11;
'00011;[G3gat];(0/1)G3gat ;'11;'11;
'01010;[G7gat];(1/0)G7gat ;'11;'10;
'00011;[w4];(1/0)w4 ;'11;'11;
'01111;[G6gat];(0/1)G6gat ;'00;'10;
'00111;[w4];(0/1)w4 ;'11;'11;
'00010;[w4];(1/0)w4 ;'11;'11;
'01001;[w4];(1/0)w4 ;'00;'01;
'01101;[G2gat];(1/0)G2gat ;'00;'01;
'01011;[G3gat];(0/1)G3gat ;'00;'00;
'10111;[G2gat];(0/1)G2gat ;'11;'10;
'00111;[G4gat];(1/0)G4gat ;'11;'01;
'00000;[w4];(1/0)w4 ;'00;'01;
'11101;[G4gat];(0/1)G4gat ;'10;'10;
'10000;[G7gat];(0/1)G7gat ;'00;'01;
'11001;[G6gat];(1/0)G6gat ;'10;'00;
'10101;[w4];(0/1)w4 ;'11;'10;
'11000;[G6gat];(0/1)G6gat ;'00;'10;
'01100;[G7gat];(1/0)G7gat ;'01;'00;
'10010;[G7gat];(1/0)G7gat ;'11;'10;
'10000;[G6gat];(0/1)G6gat ;'00;'10;
'11101;[G4gat];(0/1)G4gat ;'10;'10;
'01010;[G5gat];(0/1)G5gat ;'11;'00;
